"","CSIScontractID","Action.Obligation","LastCurrentCompletionDate","MinOfSignedDate","MaxOfSignedDate","MinOfEffectiveDate","IsClosed","MaxClosedDate","ObligatedAfterMaxClosedDate","ObligatedThroughMaxClosedDate","isDefaultOrCause","ObligatedBeforeMaxTerminatedDate","ObligatedOnMaxTerminatedDate","ObligatedAfterMaxTerminatedDate","MaxTerminatedDate","StartFY","Term","ThroughTerm","PostTermFloor0","PreTermFloor1","TermPct","NoPreTermObl","TermPctCat","TermPartial","TermPctCat3","FirstDayTerm","PreTermLength","PostTermSignedLength","PostTermCurrentLength","Include2015"
"1",412710,240118.8281,2018-07-18,2010-09-29,2018-07-18,2010-09-27,1,2018-07-18,0,240118.8281,"0",337012.8281,0,-96894,2013-03-07,2010,"Terminated",337012.8281,0,337012.8281,0,"Some Net $s Pre-Term.","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",890,1959,1959,"No"
"2",411406,236813688.355,2017-10-01,2010-06-17,2017-09-28,2010-06-17,NA,NA,NA,NA,"0",236813688.355,0,0,2017-09-07,2010,"Terminated",236813859.355,0,236813859.355,0,"Some Net $s Pre-Term.","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2639,21,24,"No"
"3",422487,215956449.5739,2017-09-30,2008-02-22,2018-06-27,2008-02-22,NA,NA,NA,NA,"0",85721767.7539,0,130234681.82,2012-04-03,2008,"Terminated",85736473.7539,130234681.82,85736473.7539,0.603018868301776,"Some Net $s Pre-Term.","[50%+]","Partial Termination",NA,"No",1502,2276,2006,"No"
"4",430726,88808.7109,NA,2010-09-26,2017-08-04,2010-09-26,1,2017-08-04,0,88808.7109,"0",10000,0,78808.7109,2014-09-11,2010,"Terminated",24539,78808.7109,24539,0.762558843477974,"Some Net $s Pre-Term.","[50%+]","Partial Termination",NA,"No",1446,1058,NA,"No"
"5",646019,41070795,NA,2010-04-09,2017-09-29,2010-04-09,1,2013-10-16,20349000,20721795,"0",20721795,0,20349000,2013-10-16,2010,"Terminated",20721795,20349000,20721795,0.495461556076526,"Some Net $s Pre-Term.","[25%,50%)","Partial Termination",NA,"No",1286,1444,NA,"No"
"6",1048849,0,NA,2010-09-23,2017-06-06,2010-09-23,NA,NA,NA,NA,"0",0,0,0,2017-06-06,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2448,0,NA,"No"
"7",1083634,519008035.2993,NA,2007-09-27,2017-10-18,2007-09-27,NA,NA,NA,NA,"0",487111261.796,11080900.4883,20815873.015,2017-01-25,2007,"Terminated",487125261.796,20815873.015,487125261.796,0.0409808766969531,"Some Net $s Pre-Term.","(0%,25%)","Complete Termination",NA,"No",3408,266,NA,"No"
"8",1217298,494164775.5955,2016-11-21,2008-01-29,2018-09-27,2008-01-11,1,2018-09-14,481.56,494164294.0355,"0",494558615.6605,0,-393840.065,2016-11-21,2008,"Terminated",494558615.6605,0,494558615.6605,0,"Some Net $s Pre-Term.","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3219,675,0,"No"
"9",1362075,617748204.1075,2020-08-31,2007-03-30,2018-09-26,2007-04-01,1,2017-08-31,-11913286.4976,629661490.6051,"0",618707264.17,0,-959060.0625,2018-09-14,2007,"Terminated",618713664.17,0,618713664.17,0,"Some Net $s Pre-Term.","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",4186,12,717,"No"
"10",1362098,51603918.6399,2017-03-01,2010-06-25,2017-03-01,2010-06-25,1,2017-03-01,0,51603918.6399,"0",57590756.6199,0,-5986837.98,2014-01-28,2010,"Terminated",57596476.6697,0,57596476.6697,0,"Some Net $s Pre-Term.","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1313,1128,1128,"No"
"11",1458341,0,NA,2008-04-02,2017-08-01,2000-09-01,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2008,"Terminated",6309.95,0,6309.95,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1094,2314,NA,"No"
"12",1458366,0,NA,2009-12-18,2017-10-17,2006-11-17,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2010,"Terminated",35440.55,0,35440.55,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",469,2391,NA,"No"
"13",1468089,0,NA,2007-03-05,2016-11-29,2007-03-05,1,2016-11-29,0,0,"0",0,0,0,2016-11-29,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3557,0,NA,"No"
"14",1468446,0,NA,2010-01-20,2016-11-14,2010-01-20,1,2016-11-14,0,0,"0",0,0,0,2016-11-14,2010,"Terminated",1916.6399,0,1916.6399,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2490,0,NA,"No"
"15",1407277,104250296,2017-06-30,2009-02-12,2017-03-24,2009-02-12,1,2013-05-07,0,104250296,"0",105349030,-1398734,3e+05,2010-05-20,2009,"Terminated",105349030,3e+05,105349030,0.0028395906711117,"Some Net $s Pre-Term.","(0%,25%)","Complete Termination",NA,"No",462,2500,2598,"No"
"16",1478728,0,NA,2009-10-27,2017-11-06,2009-11-01,1,2017-11-06,0,0,"0",0,0,0,2017-11-06,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2932,0,NA,"No"
"17",1478867,0,NA,2008-12-12,2017-07-06,2008-12-15,1,2017-07-06,0,0,"0",0,0,0,2017-07-06,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3128,0,NA,"No"
"18",1479159,0,NA,2007-05-03,2016-10-11,2007-05-07,1,2016-10-11,0,0,"0",0,0,0,2016-10-11,2007,"Terminated",4394.25,0,4394.25,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3449,0,NA,"No"
"19",1479489,0,NA,2009-06-23,2017-07-05,2009-06-23,1,2017-07-05,0,0,"0",0,0,0,2017-07-05,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2934,0,NA,"No"
