"","CSIScontractID","Action.Obligation","LastCurrentCompletionDate","MinOfSignedDate","MaxOfSignedDate","MinOfEffectiveDate","IsClosed","MaxClosedDate","ObligatedAfterMaxClosedDate","ObligatedThroughMaxClosedDate","isDefaultOrCause","ObligatedBeforeMaxTerminatedDate","ObligatedOnMaxTerminatedDate","ObligatedAfterMaxTerminatedDate","MaxTerminatedDate","StartFY","Term","ThroughTerm","PostTermFloor0","PreTermFloor1","TermPct","NoPreTermObl","TermPctCat","TermPartial","TermPctCat3","FirstDayTerm","PreTermLength","PostTermSignedLength","PostTermCurrentLength","Include2015"
"20",1388098,422701715.1418,2020-09-30,2010-08-31,2018-09-26,2010-08-31,NA,NA,NA,NA,"0",10491159,8179443,404031113.1418,2011-02-24,2010,"Terminated",10513336,404031113.1418,10513336,0.974638820947271,"Some Net $s Pre-Term.","[50%+]","Partial Termination",NA,"No",177,2771,3506,"No"
"21",1522962,0,NA,2008-10-16,2017-10-19,2008-11-01,1,2017-10-19,0,0,"0",0,0,0,2017-10-19,2009,"Terminated",11328,0,11328,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3290,0,NA,"No"
"22",1523478,0,NA,2009-11-04,2017-11-06,2009-11-04,1,2017-11-06,0,0,"0",0,0,0,2017-11-06,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2924,0,NA,"No"
"23",1523622,0,NA,2008-12-05,2017-01-09,2009-01-01,1,2017-01-09,0,0,"0",0,0,0,2017-01-09,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2957,0,NA,"No"
"24",1523998,0,NA,2007-12-18,2017-06-19,2008-01-15,1,2017-06-19,0,0,"0",0,0,0,2017-06-19,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3471,0,NA,"No"
"25",1526250,0,NA,2008-05-07,2016-12-31,2008-05-15,NA,NA,NA,NA,"0",0,0,0,2013-02-01,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1731,1429,NA,"No"
"26",1526942,0,NA,2007-06-04,2017-04-19,2007-06-15,1,2009-12-03,0,0,"0",0,0,0,2009-12-03,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",913,2694,NA,"No"
"27",1527355,0,NA,2009-08-07,2017-10-20,2009-08-15,1,2017-10-20,0,0,"0",0,0,0,2017-10-20,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2996,0,NA,"No"
"28",1527611,0,NA,2008-08-14,2016-11-17,2008-08-15,1,2016-11-17,0,0,"0",0,0,0,2016-11-17,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3017,0,NA,"No"
"29",1531402,371758,NA,2007-12-11,2017-01-26,1998-04-07,1,2017-01-26,0,0,"0",0,0,0,2017-01-26,2008,"Terminated",17074,0,17074,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3334,0,NA,"No"
"30",1458319,0,NA,2010-09-17,2017-10-16,2009-02-19,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",196,2390,NA,"No"
"31",1467537,0,NA,2009-10-08,2017-10-30,2009-10-08,1,2017-10-30,0,0,"0",0,0,0,2017-10-30,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2944,0,NA,"No"
"32",1468614,0,NA,2007-06-11,2017-04-06,2007-06-11,1,2017-04-06,0,0,"0",0,0,0,2017-04-06,2007,"Terminated",6522,0,6522,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3587,0,NA,"No"
"33",1468776,0,NA,2010-03-02,2017-05-18,2010-03-02,1,2017-05-18,0,0,"0",0,0,0,2017-05-18,2010,"Terminated",53592,0,53592,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2634,0,NA,"No"
"34",1469242,0,NA,2009-08-24,2017-08-25,2009-08-24,1,2012-12-11,0,0,"0",0,0,0,2012-12-11,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1205,1718,NA,"No"
"35",1362078,281100460.8878,2019-04-13,2007-01-18,2018-09-26,2007-01-29,1,2016-09-15,-2791934.5,283892395.3878,"0",258020017.1508,-932551.22,24012994.957,2014-04-17,2007,"Terminated",258040037.1508,24012994.957,258040037.1508,0.085136453870215,"Some Net $s Pre-Term.","(0%,25%)","Complete Termination",NA,"No",2646,1623,1822,"No"
"36",1557536,0,NA,2008-12-31,2016-11-03,2009-01-02,1,2016-11-03,0,0,"0",0,0,0,2016-11-03,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2864,0,NA,"No"
"37",1559527,0,NA,2010-05-14,2017-07-28,2010-05-14,1,2014-06-30,0,0,"0",0,0,0,2014-06-30,2010,"Terminated",13176,0,13176,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1508,1124,NA,"No"
"38",1559921,0,NA,2010-06-25,2017-07-07,2010-06-25,1,2017-07-07,0,0,"0",0,0,0,2017-07-07,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2569,0,NA,"No"
"39",1478543,0,NA,2009-06-10,2017-03-27,2009-06-03,1,2017-03-27,0,0,"0",0,0,0,2017-03-27,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2847,0,NA,"No"
"40",1458343,0,NA,2009-12-15,2017-08-15,2008-07-10,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",472,2328,NA,"No"
"41",1468921,0,NA,2010-03-23,2017-05-17,2010-03-23,1,2013-07-23,0,0,"0",0,0,0,2013-07-23,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1218,1394,NA,"No"
"42",1470260,0,NA,2008-06-26,2017-06-06,2008-06-26,NA,NA,NA,NA,"0",0,0,0,2017-06-06,2008,"Terminated",0.1602,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3267,0,NA,"No"
"43",1581564,0,NA,2008-06-17,2017-05-02,2008-06-17,1,2017-05-02,0,0,"0",0,0,0,2017-05-02,2008,"Terminated",12516,0,12516,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3241,0,NA,"No"
"44",1582119,0,NA,2006-10-26,2017-11-11,2006-10-26,1,2017-11-11,0,0,"0",0,0,0,2017-11-11,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",4034,0,NA,"No"
"45",1585794,0,NA,2008-03-11,2017-03-14,2008-03-11,1,2017-03-14,0,0,"0",0,0,0,2017-03-14,2008,"Terminated",59625,0,59625,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3290,0,NA,"No"
"46",1587087,0,NA,2010-06-07,2017-07-06,2010-06-07,1,2017-07-06,0,0,"0",0,0,0,2017-07-06,2010,"Terminated",17456,0,17456,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2586,0,NA,"No"
"47",1588389,0,NA,2008-10-06,2016-12-07,2008-10-06,1,2016-12-07,0,0,"0",0,0,0,2016-12-07,2009,"Terminated",109973,0,109973,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2984,0,NA,"No"
"48",1588646,0,NA,2007-07-31,2016-10-11,2007-07-31,1,2016-10-11,0,0,"0",0,0,0,2016-10-11,2007,"Terminated",9996.0308,0,9996.0308,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3360,0,NA,"No"
"49",1588949,0,NA,2007-12-14,2017-01-23,2007-12-14,1,2017-01-23,0,0,"0",0,0,0,2017-01-23,2008,"Terminated",18603,0,18603,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3328,0,NA,"No"
"50",1590262,0,NA,2008-05-02,2017-07-12,2008-05-02,1,2016-04-19,0,0,"0",0,0,0,2016-04-19,2008,"Terminated",33004,0,33004,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2909,449,NA,"No"
"51",1591915,0,NA,2009-11-10,2016-12-16,2009-11-10,1,2016-12-16,0,0,"0",0,0,0,2016-12-16,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2593,0,NA,"No"
"52",1592060,0,NA,2008-11-28,2017-08-21,2008-12-01,1,2017-08-21,0,0,"0",0,0,0,2017-08-21,2009,"Terminated",6028,0,6028,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3188,0,NA,"No"
"53",1592520,0,NA,2008-12-16,2017-06-02,2008-12-16,1,2017-06-02,0,0,"0",0,0,0,2017-06-02,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3090,0,NA,"No"
"54",1592548,0,NA,2007-12-07,2016-12-14,2007-12-07,1,2016-12-14,0,0,"0",0,0,0,2016-12-14,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3295,0,NA,"No"
"55",1593634,0,NA,2007-01-03,2017-07-26,2007-01-03,1,2015-04-30,0,0,"0",0,0,0,2015-04-30,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3039,818,NA,"No"
"56",1595135,0,NA,2010-03-11,2017-05-16,2010-03-11,1,2017-05-16,0,0,"0",0,0,0,2017-05-16,2010,"Terminated",17135.0996,0,17135.0996,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2623,0,NA,"No"
"57",1595423,0,NA,2008-04-02,2017-04-14,2008-04-02,1,2017-04-14,0,0,"0",0,0,0,2017-04-14,2008,"Terminated",6602.1,0,6602.1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3299,0,NA,"No"
"58",1596947,0,NA,2009-05-14,2017-06-02,2009-05-14,1,2017-06-02,0,0,"0",0,0,0,2017-06-02,2009,"Terminated",80194,0,80194,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2941,0,NA,"No"
"59",1597609,0,NA,2008-07-16,2017-04-14,2008-07-16,1,2017-04-14,0,0,"0",0,0,0,2017-04-14,2008,"Terminated",66347.8516,0,66347.8516,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3194,0,NA,"No"
"60",1597864,0,NA,2010-06-29,2016-10-25,2010-06-29,1,2016-10-25,0,0,"0",0,0,0,2016-10-25,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2310,0,NA,"No"
"61",1599574,0,NA,2009-08-11,2017-08-23,2009-08-12,1,2017-08-23,0,0,"0",0,0,0,2017-08-23,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2934,0,NA,"No"
"62",1600066,0,NA,2009-09-11,2017-11-09,2009-09-15,1,2017-11-09,0,0,"0",0,0,0,2017-11-09,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2981,0,NA,"No"
"63",1458316,0,NA,2007-09-19,2017-07-31,2007-10-01,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2007,"Terminated",11242,0,11242,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1290,2313,NA,"No"
"64",1458329,0,NA,2008-03-28,2017-08-04,2005-05-20,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2008,"Terminated",10440,0,10440,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1099,2317,NA,"No"
"65",1527326,0,NA,2008-07-21,2017-07-18,2008-07-21,1,2017-07-18,0,0,"0",0,0,0,2017-07-18,2008,"Terminated",7401,0,7401,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3284,0,NA,"No"
"66",1528152,0,NA,2010-08-06,2016-11-16,2010-08-20,1,2016-11-16,0,0,"0",0,0,0,2016-11-16,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2294,0,NA,"No"
"67",1470253,0,NA,2008-11-28,2017-08-29,2008-11-28,NA,NA,NA,NA,"0",0,0,0,2017-08-29,2009,"Terminated",100650,0,100650,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3196,0,NA,"No"
"68",1503616,116887.3125,2017-02-13,2007-02-14,2017-05-10,2007-02-14,NA,NA,NA,NA,"0",317113.1875,0,-200225.875,2012-02-03,2007,"Terminated",353943.7578,0,353943.7578,0,"Some Net $s Pre-Term.","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",1815,1923,1837,"No"
"69",1531366,703357,NA,2007-09-24,2016-11-21,1998-03-18,1,2016-11-21,0,0,"0",0,0,0,2016-11-21,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3346,0,NA,"No"
"70",1479120,0,NA,2007-04-25,2017-03-07,2007-05-01,1,2017-03-07,0,0,"0",0,0,0,2017-03-07,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3604,0,NA,"No"
"71",1479172,0,NA,2008-06-10,2017-08-23,2008-06-15,1,2017-08-23,0,0,"0",0,0,0,2017-08-23,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3361,0,NA,"No"
"72",1468185,0,NA,2008-03-28,2017-01-31,2008-03-28,1,2017-01-31,0,0,"0",0,0,0,2017-01-31,2008,"Terminated",62270,0,62270,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3231,0,NA,"No"
"73",1468249,0,NA,2009-12-15,2017-01-09,2009-12-15,1,2017-01-09,0,0,"0",0,0,0,2017-01-09,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2582,0,NA,"No"
"74",1468804,0,NA,2008-08-05,2017-04-05,2008-08-05,1,2017-04-05,0,0,"0",0,0,0,2017-04-05,2008,"Terminated",11858.0801,0,11858.0801,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3165,0,NA,"No"
"75",1522598,0,NA,2010-06-16,2017-04-11,2010-06-15,1,2017-04-11,0,0,"0",0,0,0,2017-04-11,2010,"Terminated",20466,0,20466,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2491,0,NA,"No"
"76",1525171,0,NA,2010-02-17,2017-03-13,2010-03-01,1,2017-03-13,0,0,"0",0,0,0,2017-03-13,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2581,0,NA,"No"
"77",1525502,0,NA,2010-02-25,2017-03-09,2010-03-01,1,2017-03-09,0,0,"0",0,0,0,2017-03-09,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2569,0,NA,"No"
"78",1527287,0,NA,2008-07-16,2017-08-25,2008-08-01,1,2017-02-08,0,0,"0",0,0,0,2017-02-08,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3129,198,NA,"No"
"79",1527778,0,NA,2007-08-01,2017-02-14,2007-08-06,1,2017-02-14,0,0,"0",0,0,0,2017-02-14,2007,"Terminated",2510,0,2510,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3485,0,NA,"No"
"80",1531307,0,NA,2007-07-16,2016-11-21,2007-08-01,1,2016-11-21,0,0,"0",0,0,0,2016-11-21,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3416,0,NA,"No"
"81",1468765,0,NA,2009-06-04,2017-10-16,2009-06-04,1,2017-02-10,0,0,"0",0,0,0,2017-02-10,2009,"Terminated",100,0,100,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2808,248,NA,"No"
"82",1479566,0,NA,2009-08-04,2017-11-01,2009-08-04,1,2017-11-01,0,0,"0",0,0,0,2017-11-01,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3011,0,NA,"No"
"83",1479002,0,NA,2009-01-16,2017-03-16,2009-01-16,1,2017-01-19,0,0,"0",0,0,0,2017-01-19,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2925,56,NA,"No"
"84",1557691,0,NA,2009-01-20,2017-10-20,2009-01-28,1,2017-05-27,0,0,"0",0,0,0,2017-05-27,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3049,146,NA,"No"
"85",1557813,0,NA,2009-01-30,2017-02-17,2009-02-06,1,2017-02-08,0,0,"0",0,0,0,2017-02-08,2009,"Terminated",-228,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2931,9,NA,"No"
"86",1558666,0,NA,2008-02-27,2017-05-04,2008-03-05,1,2017-05-04,0,0,"0",0,0,0,2017-05-04,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3354,0,NA,"No"
"87",1479366,0,NA,2007-08-30,2017-07-13,2007-09-10,NA,NA,NA,NA,"0",0,0,0,2017-01-06,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3417,188,NA,"No"
"88",1560405,0,NA,2008-06-27,2017-09-18,2008-07-01,1,2017-09-18,0,0,"0",0,0,0,2017-09-18,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3370,0,NA,"No"
"89",1458342,0,NA,2009-01-30,2017-10-20,2009-01-30,NA,NA,NA,NA,"0",0,0,0,2011-04-01,2009,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",791,2394,NA,"No"
"90",1561633,0,NA,2007-09-27,2017-02-06,2007-09-28,1,2015-10-20,0,0,"0",0,0,0,2015-10-20,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2945,475,NA,"No"
"91",1556797,0,NA,2007-10-23,2017-03-29,2007-11-01,1,2017-03-29,0,0,"0",0,0,0,2017-03-29,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3445,0,NA,"No"
"92",1522857,0,NA,2008-04-29,2016-11-29,2008-06-01,1,2016-11-29,0,0,"0",0,0,0,2016-11-29,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3136,0,NA,"No"
"93",1523208,0,NA,2008-06-30,2017-07-12,2008-07-31,1,2017-07-12,0,0,"0",0,0,0,2017-07-12,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3299,0,NA,"No"
"94",1524030,0,NA,2007-12-19,2017-10-25,2008-01-01,1,2014-01-15,0,0,"0",0,0,0,2014-01-15,2008,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2219,1379,NA,"No"
"95",1560096,0,NA,2010-07-08,2017-08-02,2010-07-08,1,2017-07-14,0,0,"0",0,0,0,2017-07-14,2010,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",2563,19,NA,"No"
"96",1468194,0,NA,2007-03-21,2016-11-25,2007-03-21,1,2016-11-25,0,0,"0",0,0,0,2016-11-25,2007,"Terminated",16232,0,16232,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3537,0,NA,"No"
"97",1468899,0,NA,2007-08-10,2017-07-21,2007-08-10,1,2017-07-21,0,0,"0",0,0,0,2017-07-21,2007,"Terminated",0,0,1,0,"0 Pre-Term","[0]+No Last Day Spend","Complete Termination","Term Ends Spend","No",3633,0,NA,"No"
