fiscal_year	OCO_GF	productorservicecode	ProductOrServiceCode1L	IsRnDdefenseSystem	CFTE_Rate_1year	CFTE_Factor_1year	CFTE_Factor_1yearP4	CFTE_Factor_1yearP4avg	CFTE_Factor_1yearP1	CFTE_Factor_1yearP1avg
1988	GF	AC21	A	1	228782.915550584	4.48753268E-06	NULL	4.48753268E-06	NULL	4.23285216E-06
1989	GF	AC14	A	1	453089.23091871	2.33323426666667E-06	NULL	2.33323426666667E-06	NULL	4.23285216E-06
1989	GF	AC54	A	1	309001.461336439	3.502029575E-06	NULL	3.502029575E-06	NULL	4.23285216E-06
1989	GF	AC94	A	1	373391.978372064	2.77296E-06	NULL	2.77296E-06	NULL	4.23285216E-06
1989	GF	AD23	A	0	243307.299674664	4.115303325E-06	NULL	4.115303325E-06	NULL	4.0214881E-06
1989	GF	AD94	A	0	301554.489783158	3.46856986666667E-06	NULL	3.46856986666667E-06	NULL	4.0214881E-06
1989	OCO	AC61	A	1	399383.04897813	2.868936875E-06	NULL	NULL	NULL	2.868936875E-06
1989	OCO	AN93	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1989	OCO	AZ15	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1989	OCO	C118	C	0	84417.9998736098	1.301490014E-05	NULL	NULL	NULL	1.301490014E-05
1990	GF	AA11	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AC21	A	1	228782.915550584	4.48753268E-06	NULL	4.48753268E-06	NULL	4.23285216E-06
1990	GF	AC22	A	1	337295.418963713	3.119006825E-06	NULL	3.119006825E-06	NULL	4.23285216E-06
1990	GF	AD25	A	0	452153.034952409	2.73237285E-06	NULL	2.73237285E-06	NULL	4.0214881E-06
1990	GF	AD51	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AD53	A	0	125607.626895105	7.9613E-06	NULL	7.9613E-06	NULL	4.0214881E-06
1990	GF	AD92	A	0	167003.571736567	6.02168882E-06	NULL	6.02168882E-06	NULL	4.0214881E-06
1990	GF	AE33	A	0	441747.965	2.2637343E-06	NULL	2.2637343E-06	NULL	4.0214881E-06
1990	GF	AE34	A	0	393700.864731198	2.942166525E-06	NULL	2.942166525E-06	NULL	4.0214881E-06
1990	GF	AG31	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AJ15	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AJ43	A	0	329689.492392739	3.0381103E-06	NULL	3.0381103E-06	NULL	4.0214881E-06
1990	GF	AJ44	A	0	233678.165015822	4.61780816E-06	NULL	4.61780816E-06	NULL	4.0214881E-06
1990	GF	AJ64	A	0	382483.925263294	4.16357876666667E-06	NULL	4.16357876666667E-06	NULL	4.0214881E-06
1990	GF	AJ93	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AQ92	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AR45	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AR91	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AR95	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	GF	AT32	A	0	261499.487277717	4.0214881E-06	NULL	NULL	NULL	4.0214881E-06
1990	OCO	AC23	A	1	241264.38031269	6.2744601E-06	NULL	6.2744601E-06	NULL	2.868936875E-06
1990	OCO	AC24	A	1	399383.04897813	2.868936875E-06	NULL	NULL	NULL	2.868936875E-06
1990	OCO	AC52	A	1	399383.04897813	2.868936875E-06	NULL	NULL	NULL	2.868936875E-06
1990	OCO	AD14	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AD33	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AD94	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AH32	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AH42	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AH92	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AJ13	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AJ71	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AJ93	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AN15	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AN91	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AR12	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	AS41	A	0	339040.882525701	4.0827012E-06	NULL	NULL	NULL	4.0827012E-06
1990	OCO	M181	M	0	115533.504222074	1.016205396E-05	NULL	NULL	NULL	1.016205396E-05
1991	GF	AC33	A	1	258085.179564219	4.23285216E-06	NULL	NULL	NULL	4.23285216E-06
1991	GF	AC42	A	1	335752.255886389	3.264645325E-06	NULL	3.264645325E-06	NULL	4.23285216E-06
