"","ContractingOfficeCode","obligatedAmount","numberOfContracts","avg_hh_index_obl","avg_hh_index_k"
"1","0000",667028966.8125,1599,1238.03518632644,903.218297330666
"2","00000",2400268,7,5083.42767299121,7600
"3","00001",44589768826.863,126285,579.098329291945,164.239597259691
"4","00002",46240812626.6065,54976,4366.22079043831,216.999790513662
"5","00003",24460714823.6582,54963,3411.71797435586,195.571086770219
"6","00004",23509270358.102,85679,1305.77529816833,255.483379737302
"7","00005",52658466231.4047,21615,4280.65834049638,256.814615625283
"8","00006",18492707464.3095,21057,5017.37251997745,217.993516911065
"9","00007",20047643219.9266,28143,4710.43665051305,234.273039174083
"10","00008",2751884161.0593,4048,3671.47610924333,353.255085789869
"11","00009",28796773523.0134,29623,5544.26041120978,279.787242374928
"12","0001",339481462.9685,1855,2498.59333700957,1887.50693048104
"13","00010",1110148093.6626,11399,1797.06590794968,312.24373840603
"14","00011",19576585338.7012,19436,4134.57496756777,193.983180543886
"15","00012",3336628816.9757,5840,3510.23440859674,463.508360618046
"16","00013",65655788.0057,638,2751.51050034286,747.26769824386
"17","00014",329725093.1741,2576,3059.08834275109,1202.32553123822
"18","00015",51417628.8137,1112,2188.58864647179,1390.01389764241
"19","00016",4414532067.7449,8903,2574.37496917099,361.335657356746
"20","00017",103187472.4429,5775,945.83442920594,250.752324069175
"21","00018",8130081.0166,88,4642.52328780912,2874.86490542156
"22","0001M",472316.4513,48,4114.9351749181,3189.99274376417
"23","0001U",5243701.6099,310,4332.5390149635,3445.97669902269
"24","0002",158561.46,4,6971.77434427181,2500
"25","00020",25591444935.7706,37341,907.12356943778,296.429022553994
"26","00021",18744527.2922,1164,1570.14451457397,836.770676565145
"27","00022",1930203267.28,9336,1323.07352317852,1139.42323550313
"28","00023",17370512345.6107,24346,2552.98825962996,878.983710913924
"29","00024",3045920096.7665,12997,2604.0833044786,962.414850563857
"30","00025",28043897.9739,3273,1993.2789325157,2440.04535712754
"31","00026",2964035486.9583,13443,1745.51636646676,465.748325089603
"32","00027",17148590679.2402,11698,4962.63603938369,1117.27160079907
"33","00028",2606898342.0908,15995,4116.83702485193,594.516570478655
"34","00029",2346942499.4018,9025,5591.76947962599,799.992247147867
"35","0003",23077.2402,3,3573.29448425732,3333.33333333333
"36","00030",5332570239.5561,15434,2708.79839811484,535.546161415498
"37","00031",60838159.2288,6102,904.135603350318,845.153017022203
"38","00032",36941633886.0487,3880,9296.57825941142,1504.00997786754
"39","00033",9179913750.5334,8407,9869.03204159734,1120.4554311869
"40","00034",3933082439.9858,8294,4118.18949164914,433.245618312834
"41","00035",23650723.0035,3703,912.396243306845,1564.64083657484
"42","00036",5233658980.3894,6097,8845.97585581778,2104.60151608263
"43","00037",22505495.9275,2605,1318.27252724695,1415.30883562705
"44","00038",3984938200.8566,65150,2939.33003641839,4593.55884493892
"45","00039",752991882.7418,7038,2763.04299952096,1528.12761381565
"46","0004",406475465.2188,1849,1114.27544336971,395.267892177459
"47","00040",2769759246.3657,57223,874.288044552589,366.565320473729
"48","00041",83835857.04,3864,3190.51642269066,2350.81086349939
"49","00042",35121263.9696,1806,1419.64576217849,1466.52329208148
"50","00043",121929217.965,2311,1893.3173474548,906.008059066225
"51","00044",638398252.1663,5646,1744.99286342305,788.202632194628
"52","00045",71335171.8212,5262,1264.73117914003,1106.3737618536
"53","00046",69596662.4182,1007,3187.77503783924,1152.78163592735
"54","00047",1181137282.4674,2030,4557.87705544339,1669.91876772656
"55","00048",37615212.6636,2298,3314.43468997258,1924.31792737849
"56","00049",57319367.5616,5272,927.340050188551,595.356225039372
"57","0004E",2590424.0665,171,2101.00316760927,648.303887517254
"58","0004L",2069055.0207,172,2956.10398706089,842.274707660519
"59","0004N",2498392.9016,205,1543.68358842375,1056.58423594033
"60","0004P",10564564.0439,860,1786.33853818719,1553.75438506939
"61","00050",2056480993.7562,40209,950.134617974146,1071.78442829946
"62","00051",77473102.9748,3603,1528.15313171108,973.48137151608
"63","00052",15153330889.5814,7913,3280.86970605083,440.119022868276
"64","00053",26480902055.0448,10015,7061.9141413777,1616.8040113265
"65","00054",5634893563.6951,67,9973.64403257334,4420.17067181902
"66","00055",10250698340.7503,5458,6080.6231875287,379.740182638862
"67","00056",4779859399.8945,2312,6002.97945667519,662.394831536748
"68","00057",19380167597.4649,11806,5314.49408996594,769.238235726905
"69","00058",5789425672.5519,72,8530.72351000632,2848.76809698238
"70","00059",4963453620.43,11182,1629.05968170074,647.799606291944
"71","0006",9302.9399,2,5120.30908154916,5000
"72","00060",3655646726.8126,10068,3233.82754194053,626.561844325443
"73","00061",2961089769.9333,16833,1168.182844473,838.963606104353
"74","00062",99160579.812,1850,1919.07004430075,973.0906021424
"75","00063",8259986038.3292,19404,1224.31723559291,1031.210885479
"76","00064",30135,309,9571.67849745621,6126.46946015063
"77","00065",683774276.3128,6134,1297.75655973818,601.025989429409
"78","00066",273206523.4675,3099,2139.00712867401,1064.97226900434
"79","00067",278954357.0366,5027,1537.37681998817,318.476991758532
"80","00068",3134087908.8296,13190,5652.31760089272,1434.81450106086
"81","00069",302282689.5006,5526,1763.59825178856,1160.15303897222
"82","0006A",23788221.1323,4630,960.240358814277,961.71296507866
"83","0006B",1123934.0369,104,5031.21926094415,4898.86329246714
"84","0006C",6750754.8269,714,1178.03334278717,891.721638325976
"85","0006H",642301.2714,63,5052.44959306146,3380.38548752834
"86","00070",2519561393.7646,11391,3334.04310609365,602.056140363128
"87","00071",2850855606.3683,10103,5287.31226353264,1159.49968848343
"88","00072",119327229.3505,823,5527.18131802227,2034.79331175261
"89","00073",4020119.7902,190,5786.98250623922,4969.02057639098
"90","00074",4704997.6203,317,7487.00351496479,7193.42315602032
"91","00075",1700353248.3427,5656,1184.80942916887,538.559370535637
"92","00077",53260.2996,10,6079.18777841527,6049.38271604938
"93","00078",334823.0105,82,3838.08741561127,2372.78995258234
"94","00079",873699547.8039,5765,2785.05842356927,1733.36388408175
"95","00080",2442265188.3044,31854,3004.50521884854,2332.52124154722
"96","00081",963668906.559,21654,1111.59298292768,1084.66770157599
"97","00082",499893712.7779,3683,1986.75204447873,1274.71750117621
"98","00083",743797062.591,5735,1624.02257443169,1676.08941022417
"99","00084",2319380676.4539,21168,1146.90878963955,1133.7929690328
"100","00085",1046075432.7512,14835,6330.12448977428,2968.74281697087
"101","00086",114695732.4016,989,2455.09955611186,975.293260066616
"102","00087",203166766.0791,1953,2484.19667837583,665.29242744392
"103","00088",604188219.5364,3882,3612.00415238033,1693.36554605221
"104","00089",894969799.0844,7282,2327.7208676039,1588.38344215645
"105","0009",90136.0914,3,9375.29547289408,7500
"106","00090",8200697.9535,707,3661.66211319522,3896.19463754309
"107","00091",1405105881.1257,6462,1816.43432987955,944.455532616028
"108","00092",1715616243.4206,9729,8776.91352702461,6296.5196984748
"109","00093",1104448763.2696,5640,9315.36430653482,6960.69540499255
"110","00094",1613343477.5518,7176,9122.35974255411,7223.16473771073
"111","00095",190919513.5979,5145,1129.88027621366,537.728861555117
"112","00096",3436371324.978,668,5948.71434557636,632.946426145527
"113","00097",221833.9089,19,4345.42789859338,3190.74074074074
"114","000AA",25926741.6721,534,5934.86393058262,3692.59541686155
"115","000AB",2784186538.6044,38009,1351.5435269643,715.507079741825
"116","000AC",22639210.1112,1343,2429.79265522568,1166.37509037049
"117","000AS",578765947.1742,4036,2253.99868362241,689.184070433681
"118","000BG",10354810.1537,339,2881.89650910689,2154.51490031517
"119","000C1",176770116.1406,10,9999.81178242089,6666.66666666667
"120","000CM",453163853.3481,1266,4227.95825763788,2211.74936704948
