"","Fiscal_year","ContractingOfficeCode","obligatedAmount","numberOfContracts","office_naics_hhi_obl","office_naics_hhi_k"
"1",2001,"0000",190194716,492,1257.93051924468,1179.35752528257
"2",2001,"00000",0,1,NA,10000
"3",2001,"00001",541994532.3808,2396,516.702568357839,156.772138316225
"4",2001,"00002",2093895040.0576,1049,4988.49218462367,249.990685213845
"5",2001,"00003",3635367981.7412,864,6243.53873488958,213.825660150892
"6",2001,"00004",4191857518.7238,1803,3942.84728174213,191.807639267641
"7",2001,"00005",2555527728.0187,492,5986.97934088438,240.680150703946
"8",2001,"00006",1248905530.8928,285,3836.65672609954,192.674669128963
"9",2001,"00007",829462601.8716,338,6195.0449475734,398.27036868457
"10",2001,"00008",452904553,114,4654.3485092063,489.38134810711
"11",2001,"00009",1648477989.1172,572,8281.50714911772,691.537483495525
"12",2001,"0001",61542007,357,2167.76060741104,1729.71149244011
"13",2001,"00010",62624128.3621,270,1478.31308472468,262.825788751715
"14",2001,"00011",579853698.6602,259,4182.59096849497,392.510546950701
"15",2001,"00012",317606230,46,7343.02148064387,775.047258979206
"16",2001,"00013",34079000,12,9108.53519984988,1111.11111111111
"17",2001,"00015",2786000,47,1694.60521765839,1951.10909913988
"18",2001,"00016",45377473.6797,125,1068.04902397722,356.48
"19",2001,"00017",5777737,27,4320.82309775064,507.544581618656
"20",2001,"00018",3007000,30,5322.74598379195,2577.77777777778
"21",2001,"0001U",35000,1,10000,10000
"22",2001,"00020",30843780.9126,205,894.924551747592,343.367043426532
"23",2001,"00021",7897000,27,4007.39166786996,2318.24417009602
"24",2001,"00022",81986274,500,1507.41241593521,1523.6
"25",2001,"00023",251038535.6172,1317,884.694471514827,2509.43649685873
"26",2001,"00024",554012395,69,3393.56592457404,1585.80130224743
"27",2001,"00025",369000,15,7394.9956301731,5733.33333333333
"28",2001,"00026",159772630.4825,586,1841.63627988319,1026.74463301844
"29",2001,"00027",763195308.5,77,4485.51682653323,642.604149097656
"30",2001,"00028",188405022.9399,46,8494.31055943634,453.686200378072
"31",2001,"00029",141670317.9502,20,6385.47506671502,650
"32",2001,"00030",17485000,139,759.214534269606,254.127633145282
"33",2001,"00032",2070979949.7598,184,9840.34377010971,1847.23534971645
"34",2001,"00033",462975367,42,9948.17243668565,1133.78684807256
"35",2001,"00034",653748856,136,9235.76354077476,276.81660899654
"36",2001,"00035",856726,16,1339.82672865878,1171.875
"37",2001,"00036",245701332.375,138,8848.1731776543,1212.98046628859
"38",2001,"00038",118954996.37,1506,4633.97683919085,5401.62501829777
"39",2001,"00039",5933211,29,5395.75212662803,1248.51367419738
"40",2001,"0004",73547869,436,675.860314971516,446.406026428752
"41",2001,"00040",82215853,545,1116.01622756934,311.724602306203
"42",2001,"00041",61000,1,10000,10000
"43",2001,"00042",162274,3,3944.79695571875,3333.33333333333
"44",2001,"00043",6000,1,10000,10000
"45",2001,"00044",4250607.3521,75,1181.91113824188,837.333333333333
"46",2001,"00045",4421771,103,1926.87368670992,1297.95456687718
"47",2001,"00046",603369.582,16,2087.68984356373,1406.25
"48",2001,"00047",43486000,103,3824.0432767968,1477.04778961259
"49",2001,"00048",764000,5,8811.43609001946,4400
"50",2001,"00049",871628.8984,25,1054.07451111938,688
"51",2001,"0004N",203000,4,3060.25382804727,2500
"52",2001,"0004P",34000,1,10000,10000
"53",2001,"00050",76579910.2,371,800.394019116074,1065.74349212807
"54",2001,"00051",822968,9,5692.26884269771,3827.16049382716
"55",2001,"00052",31634208.8906,26,2193.87526993864,1094.67455621302
"56",2001,"00053",31415404.444,406,1544.7063238272,3903.75888762164
"57",2001,"00054",329286347,3,9995.93121492017,3333.33333333333
"58",2001,"00055",1096000,42,1217.79929671266,2290.24943310658
"59",2001,"00056",11631000,62,1265.03345897112,863.683662851197
"60",2001,"00057",149393941.916,342,1197.68212050537,727.403303580589
"61",2001,"00059",333076085,283,2873.60297513937,1262.47050156701
"62",2001,"00060",47412298,161,2751.55536875371,742.641101809344
"63",2001,"00061",131828000,488,1568.30014557039,1353.63477559796
"64",2001,"00062",720000,19,2830.4724487995,2132.96398891967
"65",2001,"00063",424244118.044,1035,1001.25058595302,1025.00408410931
"66",2001,"00065",86659620,672,510.219862179714,320.294784580499
"67",2001,"00066",148000,3,5934.98904309715,3333.33333333333
"68",2001,"00067",658000,14,1007.75122181059,816.326530612245
"69",2001,"00068",89548000,355,4620.97911357145,2241.38067843682
"70",2001,"00069",19500,1,10000,10000
"71",2001,"0006A",542320,38,1102.01741313826,1440.4432132964
"72",2001,"0006B",17000,1,10000,10000
"73",2001,"0006C",249000,6,2497.86293769455,1666.66666666667
"74",2001,"00070",116774379.2002,324,5154.92161067636,762.078951379363
"75",2001,"00071",85987692.997,107,6037.08519775812,2925.14630098699
"76",2001,"00074",63000,1,10000,10000
"77",2001,"00075",17533570.6562,85,1473.07261632986,1482.35294117647
"78",2001,"00079",1680000,2,9444.89795918367,5000
"79",2001,"00080",67019576.3069,923,3368.45314349885,3009.81654574501
"80",2001,"00081",34290594.6866,346,1178.60189975026,1094.42346887634
"81",2001,"00082",15181700,184,1204.45843948219,861.885633270321
"82",2001,"00083",26749697.3125,313,1430.31091288454,1127.39744204799
"83",2001,"00084",63439923.3477,886,1288.34120617876,2379.09492532446
"84",2001,"00085",31523989,145,8655.98521593781,6781.92627824019
"85",2001,"00086",5610000,48,3659.33255168864,1414.93055555556
"86",2001,"00087",12382497,114,1226.08348638772,1086.48815020006
"87",2001,"00088",13266042.52,148,1498.96979473743,889.335281227173
"88",2001,"00089",29255730.211,214,2400.94524315608,929.338806882697
"89",2001,"00090",65000,2,10000,10000
"90",2001,"00091",42080006.5,154,1460.8546229568,1068.47697756789
"91",2001,"00092",105367000,724,9243.19073595131,9297.4115564238
"92",2001,"00093",81886000,445,9974.14386223598,9955.1571771241
"93",2001,"00094",124831000,394,9899.85718568153,9698.13703007034
"94",2001,"00095",16145381.7188,132,3969.22236170842,771.349862258953
"95",2001,"00096",136460603,19,7985.94755633961,803.324099722991
"96",2001,"000AA",16850000,386,623.646311933714,397.728798088539
"97",2001,"000AB",55037259.8438,1069,487.637222252145,716.431519801603
"98",2001,"000CM",46775611.0528,65,7029.69863566547,4764.49704142012
"99",2001,"000DD",44407000,253,908.481268529289,935.962130325423
"100",2001,"000DG",173069950.1875,161,3579.37065830685,1026.58076463099
"101",2001,"000DK",41051000,361,1342.80985516791,1175.63554607469
"102",2001,"000DS",2261000,18,9724.49178200692,3518.51851851852
"103",2001,"000EA",48707808.7764,355,1382.50143817063,1093.19579448522
"104",2001,"000G1",21729637.7969,281,852.420891628731,745.304644064791
"105",2001,"000G3",23946000,53,4164.32954687595,2659.30936276255
"106",2001,"000G5",150189000,3,10000,10000
"107",2001,"000G8",2406751.1563,65,703.56228904667,650.887573964497
"108",2001,"000NA",31084000,164,2730.85109118813,325.698988697204
"109",2001,"000PA",327127871.8271,751,1183.56353021913,521.54162847229
"110",2001,"000QA",8767000,9,9058.35743084442,3333.33333333333
"111",2001,"000RA",23976374.7168,443,703.102210579206,349.403054283079
"112",2001,"000SA",27110894.7207,120,1521.4287306065,512.5
"113",2001,"000SB",93170425.3125,1212,374.134703777179,282.937947260073
"114",2001,"000SC",4334.8,1,10000,10000
"115",2001,"000SD",2831000,6,7458.16645478149,7222.22222222222
"116",2001,"000SP",83529000,116,1805.25123167825,1211.35552913199
"117",2001,"000WC",22944000,437,398.28265294773,313.296922537166
"118",2001,"000YA",163357029.64,697,1381.08893727524,766.041798319916
"119",2001,"000YB",36125000,87,7648.7701746866,453.164222486458
"120",2001,"00100",121675405.9961,359,1316.82739841101,740.140129266533
"121",2001,"00101",970000,29,6498.05505367202,6504.16171224732
"122",2001,"00102",16751787,61,3818.15162000541,2088.14834721849
"123",2001,"00103",38000,1,10000,10000
"124",2001,"00105",165000,1,10000,10000
"125",2001,"00109",19176000,223,1193.13619539722,1972.49090068169
"126",2001,"0010A",20631000,101,2194.61062374057,1567.49338300167
"127",2001,"0010C",97256000,180,1962.82203326973,675.308641975309
"128",2001,"0010D",84353000,197,1644.7816277992,1458.6822644232
"129",2001,"0010F",33619000,23,8453.3543752416,6446.1247637051
"130",2001,"0010H",3829000,94,1123.40080897654,1104.57220461747
"131",2001,"0010K",1646000,3,10000,10000
"132",2001,"0010X",34021000,208,954.121145533523,876.479289940828
"133",2001,"00110",1263000,74,7685.22332116534,8466.03360116874
"134",2001,"00112",674000,36,2943.54093106393,4120.37037037037
"135",2001,"00116",13899015.8208,86,1156.62748315736,1011.35749053542
"136",2001,"00120",2670000,41,8583.18955238536,7334.91969066032
"137",2001,"00126",1304000,46,4718.61003425044,4527.41020793951
"138",2001,"00127",2033000,74,8641.61647619976,6767.71365960555
"139",2001,"00129",120000,2,5138.88888888889,5000
"140",2001,"00130",340000,11,1691.79286100595,1074.38016528926
"141",2001,"00134",9070,1,10000,10000
"142",2001,"00140",4413000,160,7563.07931641517,5833.59375
"143",2001,"00150",5043000,162,7158.53298751498,4964.94436823655
"144",2001,"00160",1623060,34,6633.01537853538,7318.33910034602
"145",2001,"00161",26577644.187,110,2739.56127835099,2915.70247933884
"146",2001,"00170",1947000,55,7675.55157751287,7963.63636363636
"147",2001,"00180",1058000,24,10000,10000
"148",2001,"00190",3276019,61,7205.27855024859,5291.5882827197
"149",2001,"00200",1370977403.5212,3363,4175.81619225047,2047.17797507624
"150",2001,"00205",5861000,14,9288.18399734904,6326.5306122449
"151",2001,"00211",961000,11,2576.80117723365,2066.11570247934
"152",2001,"00212",7092753.0625,56,2473.62005088544,797.19387755102
