"","Fiscal_year","ContractingOfficeCode","obligatedAmount","numberOfContracts","hh_index_obl","hh_index_k"
"85",2001,"00086",5610000,48,3659.33255168864,1414.93055555556
"86",2001,"00087",12382497,114,1226.08348638772,1086.48815020006
"87",2001,"00088",13266042.52,148,1498.96979473743,889.335281227173
"88",2001,"00089",29255730.211,214,2400.94524315608,929.338806882697
"89",2001,"00090",65000,2,10000,10000
"90",2001,"00091",42080006.5,154,1460.8546229568,1068.47697756789
"91",2001,"00092",105367000,724,9243.19073595131,9297.4115564238
"92",2001,"00093",81886000,445,9974.14386223598,9955.1571771241
"93",2001,"00094",124831000,394,9899.85718568153,9698.13703007034
"94",2001,"00095",16145381.7188,132,3969.22236170842,771.349862258953
"95",2001,"00096",136460603,19,7985.94755633961,803.324099722991
"96",2001,"000AA",16850000,386,623.646311933714,397.728798088539
"97",2001,"000AB",55037259.8438,1069,487.637222252145,716.431519801603
"98",2001,"000CM",46775611.0528,65,7029.69863566547,4764.49704142012
"99",2001,"000DD",44407000,253,908.481268529289,935.962130325423
"100",2001,"000DG",173069950.1875,161,3579.37065830685,1026.58076463099
"101",2001,"000DK",41051000,361,1342.80985516791,1175.63554607469
"102",2001,"000DS",2261000,18,9724.49178200692,3518.51851851852
"103",2001,"000EA",48707808.7764,355,1382.50143817063,1093.19579448522
"104",2001,"000G1",21729637.7969,281,852.420891628731,745.304644064791
"105",2001,"000G3",23946000,53,4164.32954687595,2659.30936276255
"106",2001,"000G5",150189000,3,10000,10000
"107",2001,"000G8",2406751.1563,65,703.56228904667,650.887573964497
"108",2001,"000NA",31084000,164,2730.85109118813,325.698988697204
"109",2001,"000PA",327127871.8271,751,1183.56353021913,521.54162847229
"110",2001,"000QA",8767000,9,9058.35743084442,3333.33333333333
"111",2001,"000RA",23976374.7168,443,703.102210579206,349.403054283079
"112",2001,"000SA",27110894.7207,120,1521.4287306065,512.5
"113",2001,"000SB",93170425.3125,1212,374.134703777179,282.937947260073
"114",2001,"000SC",4334.8,1,10000,10000
"115",2001,"000SD",2831000,6,7458.16645478149,7222.22222222222
"116",2001,"000SP",83529000,116,1805.25123167825,1211.35552913199
"117",2001,"000WC",22944000,437,398.28265294773,313.296922537166
"118",2001,"000YA",163357029.64,697,1381.08893727524,766.041798319916
"119",2001,"000YB",36125000,87,7648.7701746866,453.164222486458
"120",2001,"00100",121675405.9961,359,1316.82739841101,740.140129266533
"121",2001,"00101",970000,29,6498.05505367202,6504.16171224732
"122",2001,"00102",16751787,61,3818.15162000541,2088.14834721849
"123",2001,"00103",38000,1,10000,10000
"124",2001,"00105",165000,1,10000,10000
"125",2001,"00109",19176000,223,1193.13619539722,1972.49090068169
"126",2001,"0010A",20631000,101,2194.61062374057,1567.49338300167
"127",2001,"0010C",97256000,180,1962.82203326973,675.308641975309
"128",2001,"0010D",84353000,197,1644.7816277992,1458.6822644232
"129",2001,"0010F",33619000,23,8453.3543752416,6446.1247637051
"130",2001,"0010H",3829000,94,1123.40080897654,1104.57220461747
"131",2001,"0010K",1646000,3,10000,10000
"132",2001,"0010X",34021000,208,954.121145533523,876.479289940828
"133",2001,"00110",1263000,74,7685.22332116534,8466.03360116874
"134",2001,"00112",674000,36,2943.54093106393,4120.37037037037
"135",2001,"00116",13899015.8208,86,1156.62748315736,1011.35749053542
"136",2001,"00120",2670000,41,8583.18955238536,7334.91969066032
"137",2001,"00126",1304000,46,4718.61003425044,4527.41020793951
"138",2001,"00127",2033000,74,8641.61647619976,6767.71365960555
"139",2001,"00129",120000,2,5138.88888888889,5000
"140",2001,"00130",340000,11,1691.79286100595,1074.38016528926
"141",2001,"00134",9070,1,10000,10000
"142",2001,"00140",4413000,160,7563.07931641517,5833.59375
"143",2001,"00150",5043000,162,7158.53298751498,4964.94436823655
"144",2001,"00160",1623060,34,6633.01537853538,7318.33910034602
"145",2001,"00161",26577644.187,110,2739.56127835099,2915.70247933884
"146",2001,"00170",1947000,55,7675.55157751287,7963.63636363636
"147",2001,"00180",1058000,24,10000,10000
"148",2001,"00190",3276019,61,7205.27855024859,5291.5882827197
"149",2001,"00200",1370977403.5212,3363,4175.81619225047,2047.17797507624
"150",2001,"00205",5861000,14,9288.18399734904,6326.5306122449
"151",2001,"00211",961000,11,2576.80117723365,2066.11570247934
"152",2001,"00212",7092753.0625,56,2473.62005088544,797.19387755102
"153",2001,"00213",182179315,495,778.276144113463,638.996020814203
"154",2001,"00220",0,1,0,10000
"155",2001,"00222",5000,6,10000,3333.33333333333
"156",2001,"00223",214934020,1696,496.324338983677,296.215846386614
"157",2001,"00226",0,1,0,10000
"158",2001,"00230",7031895,46,4527.30254531517,6540.6427221172
"159",2001,"00231",11051000,45,3681.76441370728,5614.81481481481
"160",2001,"00232",111545000,270,1865.88635219175,2309.73936899863
"161",2001,"00235",13685000,95,3991.03910217484,3850.41551246537
"162",2001,"00236",10685871,9,5332.83329806839,1851.85185185185
"163",2001,"00239",3486000,52,5036.04945147363,7921.59763313609
"164",2001,"00240",24558000,81,4165.60118011453,5140.98460600518
"165",2001,"00241",31075469.6304,405,3421.41678475388,998.323426306965
"166",2001,"00242",69997144.2969,985,367.563391005135,925.218377180551
"167",2001,"00243",41699069,430,724.366989720051,1262.5202812331
"168",2001,"00244",10810600,58,4369.89692214581,1593.34126040428
"169",2001,"00245",10872139,19,5654.70049832236,1468.14404432133
"170",2001,"00246",6265446.1792,45,8532.21972674734,3224.69135802469
"171",2001,"00247",21678741.2188,150,1000.03943216913,759.111111111111
"172",2001,"00248",12385000,19,5565.06883106575,3407.20221606648
"173",2001,"00249",30032534,456,3475.82933731084,7902.62388427209
"174",2001,"0024B",169948000,266,2824.9570865954,3122.27938266719
"175",2001,"00250",30855000,124,3695.64379480175,6821.0197710718
"176",2001,"00254",20905315.4241,106,1937.05869128493,711.997152011392
"177",2001,"00255",41697152.6797,215,1423.52616012554,597.728501892915
"178",2001,"00256",3035000,27,3158.06354528241,1659.80795610425
"179",2001,"00258",1857000,17,1582.70283249078,1072.66435986159
"180",2001,"00259",26300.8496,8,6478.27123847072,3125
"181",2001,"00260",52881170.8203,77,2802.90168795593,2416.93371563501
"182",2001,"00261",626469095.3931,1498,1823.37300185095,409.767540521318
"183",2001,"00262",105733791.9063,804,669.299202143997,800.134897651048
"184",2001,"00263",237466801,1287,995.984954315714,710.258402566095
"185",2001,"00264",19926000,27,6090.79459704006,6186.55692729767
"186",2001,"00265",25387055,43,5019.71475205994,5575.98702001082
"187",2001,"00266",208060315,144,5581.0869367605,5073.3024691358
"188",2001,"00267",54283269,122,3735.12505012364,1116.63531308788
"189",2001,"00268",216934410,464,2979.81318311468,1086.22547562426
"190",2001,"00269",24000514,83,772.857804322961,393.380751923356
"191",2001,"00270",58420459,28,3138.05967663551,2040.81632653061
"192",2001,"00271",82524601,105,1663.58212138621,1392.29024943311
"193",2001,"00272",31182286,217,1302.31602259369,1087.5151309223
"194",2001,"00273",116016196.67,359,4293.22813062018,828.904182928438
"195",2001,"00274",585000,1,10000,10000
"196",2001,"00275",62728932,71,5626.26323711215,4909.7401309264
"197",2001,"00276",159754307,295,3613.04098446577,1260.90203964378
"198",2001,"00277",54896449,47,3592.83646342226,3897.69126301494
"199",2001,"00278",52270267,51,2117.53171160776,1426.37447135717
"200",2001,"00280",46457714,42,2060.44902817177,1859.410430839
"201",2001,"00281",25992471.58,220,1123.15162126705,1422.72727272727
"202",2001,"00282",196540623,470,1891.47944685761,1244.90719782707
"203",2001,"00283",60117000,8,7439.48127052852,2187.5
"204",2001,"00285",1112000,9,7072.93877128513,6543.20987654321
"205",2001,"00290",119417718,138,2626.95695167004,2968.9140936778
"206",2001,"00291",0,2,0,5000
"207",2001,"00292",86193646.0298,54,6516.99774495019,4327.8463648834
"208",2001,"00295",4527000,139,2250.9466188413,2728.11966254335
"209",2001,"002NV",1160000,11,2776.15933412604,1074.38016528926
"210",2001,"002S2",6618612,68,1590.72290291518,925.60553633218
"211",2001,"00325",68000,1,10000,10000
"212",2001,"00342",1e+05,1,10000,10000
"213",2001,"00343",13406000,436,1700.33217517417,2551.76331958589
"214",2001,"00345",1077000,37,2461.24547278325,1585.09861212564
"215",2001,"00351",1818000,34,1388.43202252018,1574.39446366782
"216",2001,"00355",2805000,57,1726.73955662317,1585.10310864881
"217",2001,"00356",1069000,31,2447.16961814413,1821.0197710718
"218",2001,"00385",9167000,303,3823.51324542913,5507.84781448442
"219",2001,"00398",2375000,75,1707.15301939058,1168
"220",2001,"003H6",5174000,55,3571.17987568953,975.206611570248
"221",2001,"003J1",3023000,66,3928.30728008851,5665.74839302112
"222",2001,"003K0",432000,17,3781.29286694102,1833.91003460208
"223",2001,"003R6",6866000,124,1119.46776243226,738.813735691987
"224",2001,"00402",15726000,123,4317.93071703294,2882.54345958094
"225",2001,"00405",11478000,247,1901.56803832485,701.699749217329
"226",2001,"00415",86000,2,5327.20389399676,5000
"227",2001,"00436",4768959,98,3160.38086550699,5533.11120366514
"228",2001,"00437",10967000,96,2662.86321351215,1890.19097222222
"229",2001,"00438",2902000,71,1141.53313311811,2136.48085697282
"230",2001,"00442",6027455.6016,67,1067.74476399928,683.893963020717
"231",2001,"00452",1501000,39,1565.39211478379,1295.20052596976
"232",2001,"00459",411000,11,1577.00937124455,1570.2479338843
"233",2001,"00460",1594000,24,1347.32820221376,2083.33333333333
"234",2001,"00463",1924000,22,1199.00285700702,991.735537190083
"235",2001,"00467",1132000,31,3525.34368015583,1113.42351716962
"236",2001,"0046W",7309000,124,1092.58577088119,933.922996878252
"237",2001,"004GG",2592000,39,3438.49129801097,4214.33267587114
"238",2001,"004H1",11711488,353,1766.6657779687,5577.52650290107
"239",2001,"004KK",5529000,141,6538.02451900224,6263.76942809718
"240",2001,"004M3",9323000,211,3635.05553467456,5380.15767839896
"241",2001,"004N0",2256000,59,2817.07802047181,5162.30968112611
"242",2001,"004N7",6724000,84,3385.12793544819,5416.66666666667
"243",2001,"004P5",3389000,330,5254.55318140433,8437.28191000919
"244",2001,"004R3",2691000,155,5505.728731457,6035.79604578564
"245",2001,"004R4",7741000,97,3629.13754165294,2815.3895206717
"246",2001,"004T0",2973000,48,2318.73496743706,1571.18055555556
"247",2001,"004T1",4171000,104,2941.5934400173,1923.07692307692
"248",2001,"004U3",7747000,117,4240.77932273037,7200.67207246694
"249",2001,"00500",558159161,628,465.399783874844,577.203943364842
"250",2001,"00501",24476000,263,1024.04108699816,579.305758359959
"251",2001,"00502",8348000,177,854.267261062791,1967.18695138689
"252",2001,"00503",12925464,103,3283.33414395962,1107.55019323216
"253",2001,"00504",17560384,244,641.025996038873,389.680193496372
"254",2001,"00506",17367000,218,1459.95571824235,768.453833852369
"255",2001,"00508",18127000,297,885.535429674637,2114.86356267501
"256",2001,"00509",26614000,379,1316.13780117965,1707.9385412243
"257",2001,"00512",32962960.9023,256,799.865213676138,384.521484375
"258",2001,"00515",15733000,61,1731.30127078635,642.300456866434
"259",2001,"00516",28906485,356,1479.15440842627,1750.88372680217
"260",2001,"00517",6918000,144,2007.25786170145,847.800925925926
"261",2001,"00518",8384000,138,1257.18864039464,2246.3768115942
"262",2001,"00519",6710000,108,1161.21277271506,552.126200274348
"263",2001,"00520",20850070.9199,164,1681.83904617081,469.214753123141
"264",2001,"00521",27733000,204,2611.98451102687,735.294117647059
"265",2001,"00523",45908863,382,1261.66848413402,817.685918697404
"266",2001,"00527",11000,1,10000,10000
"267",2001,"00528",0,1,0,10000
"268",2001,"00529",9517000,127,1928.25712666789,881.021762043524
"269",2001,"00531",15118000,130,1178.0901210867,693.491124260355
"270",2001,"00534",22907000,295,873.744331255939,701.982189026142
"271",2001,"00538",8510000,229,1078.69777670046,2449.03796647661
"272",2001,"00539",24677321,174,1046.49987619689,490.817809486062
"273",2001,"00540",5653000,70,2071.54658710245,1473.4693877551
"274",2001,"00541",24409862,177,841.418038863212,719.142009001245
"275",2001,"00542",3536000,24,1288.3594853709,520.833333333333
"276",2001,"00543",5994000,146,1118.61889695279,1747.04447363483
"277",2001,"00544",21971000,170,1477.99008752483,1047.7508650519
"278",2001,"00546",15196993.1992,161,1282.39759959508,898.499286292967
"279",2001,"00548",9956000,72,1073.87168063384,401.234567901235
"280",2001,"00549",261740000,757,1809.07472097393,337.161394575333
"281",2001,"00550",8375000,155,880.995999108933,2074.92195629553
"282",2001,"00552",13950740.1694,123,1664.12444314649,1930.7290633882
"283",2001,"00553",14214511.3398,136,483.061635842718,308.174740484429
"284",2001,"00554",21288000,168,753.206044806883,1059.3820861678
"285",2001,"00555",79000,1,10000,10000
"286",2001,"00557",7959000,137,1140.55779114601,1240.87591240876
"287",2001,"00558",22228000,159,1109.42875654921,454.491515367272
"288",2001,"00562",3463000,41,1484.61492470754,743.60499702558
"289",2001,"00564",3250232,63,1374.64186549757,1801.46132527085
"290",2001,"00565",10318000,143,1273.75435187027,1398.11237713336
"291",2001,"00567",913000,20,2214.80165409222,3300
"292",2001,"00568",8065000,90,2241.64205200385,2725.92592592593
"293",2001,"00570",9584322,27,5735.87607694109,1577.50342935528
"294",2001,"00573",29497000,226,1940.23863806583,1513.43096561986
"295",2001,"00575",4614000,50,2597.84068727337,1672
"296",2001,"00580",45887000,426,1154.31856631457,825.122881262536
"297",2001,"00581",16675542,61,2993.83785277958,389.680193496372
"298",2001,"00583",31482000,201,1978.16895204321,692.309596297121
"299",2001,"00586",26698524.5181,207,1243.95580549254,485.192186515438
"300",2001,"00589",10339000,150,920.643273593888,1208.88888888889
"301",2001,"00590",10651000,216,1246.13411005155,894.20438957476
"302",2001,"00595",15112000,260,1099.79472838907,806.804733727811
"303",2001,"00596",4109000,38,1451.79239299306,664.819944598338
"304",2001,"00598",18801069.6206,184,613.679417427195,1093.45463137996
"305",2001,"005G1",1247000,58,2296.49474697574,3275.86206896552
"306",2001,"005G2",10575000,62,4247.39171403182,4302.80957336108
"307",2001,"005GG",5077000,156,2719.00766320315,3537.9684418146
"308",2001,"005H7",3615000,88,2385.37903961709,2572.31404958678
"309",2001,"005K3",2371000,70,1410.72508899092,820.408163265306
"310",2001,"005M6",14832000,93,6337.35685779253,1342.3517169615
"311",2001,"00600",511235536.9917,2416,570.391346353143,641.316444454191
"312",2001,"00603",8949000,63,1385.48895311347,461.073318216175
"313",2001,"00608",5022000,43,2709.10106245384,1519.74040021633
"314",2001,"00609",9071000,128,1786.61615095145,1737.060546875
"315",2001,"00610",13628435.25,149,1329.26776251077,2095.851538219
"316",2001,"00612",3250000,54,2473.02059171598,1570.64471879287
"317",2001,"00613",14277000,196,1359.30520755575,1461.8908788005
"318",2001,"00614",12182000,172,603.755265357694,515.819361817198
"319",2001,"00618",44038852,436,1027.52044311215,1516.28650786971
"320",2001,"00619",12824000,124,1624.6030767716,1014.56815816857
"321",2001,"00621",22181000,206,851.172778350872,566.971439343953
"322",2001,"00623",3415000,25,4296.08157962996,2672
"323",2001,"00626",17869000,175,1083.30946532324,281.142857142857
"324",2001,"00629",124901723,130,7379.19801021084,476.923076923077
"325",2001,"00631",7753164,120,1860.20401417503,3133.33333333333
"326",2001,"00632",0,1,0,10000
"327",2001,"00635",18750665,212,2882.06255574114,1132.52046991812
"328",2001,"00636",71168985,265,1384.94991653022,394.873620505518
"329",2001,"00637",11553000,207,517.539924854094,650.890335830474
"330",2001,"00640",8686397,99,1038.12074863809,858.075706560555
"331",2001,"00642",36727586.3,111,1121.24746399283,440.710981251522
"332",2001,"00644",8805882,166,877.941003901972,1038.61228044709
"333",2001,"00646",38258000,339,429.826735719649,394.444879525935
"334",2001,"00648",26876054.7706,249,686.066658161025,434.347833099466
"335",2001,"00649",8935807.3594,110,1243.00432202025,1047.93388429752
"336",2001,"00650",7944456.8789,263,1243.05293702881,1266.31872659718
"337",2001,"00652",26123000,649,727.59418611416,697.457983243155
"338",2001,"00653",7843328,199,1012.23509608329,579.025782177218
"339",2001,"00654",3495000,50,1066.26470269197,888
"340",2001,"00655",8685000,64,2133.4257378357,639.6484375
"341",2001,"00656",4935000,143,1036.43002394862,1252.38397965671
"342",2001,"00657",11568000,367,846.820095833596,702.284522121332
"343",2001,"00658",8137000,91,1386.8863235828,931.046975003019
"344",2001,"00659",11499000,185,1776.86802410349,3033.74726077429
"345",2001,"00660",25091560,193,1333.62013153437,496.389164809794
"346",2001,"00662",7483000,23,1978.40589768186,2249.52741020794
"347",2001,"00663",32547000,390,1522.36376407026,5038.52728468113
"348",2001,"00666",1961000,43,1809.6143539458,1032.990805841
"349",2001,"00667",18587411.6348,292,829.894162833528,645.524488647026
"350",2001,"00668",5469893.6802,79,2173.81282771032,1616.72808844736
"351",2001,"00671",60682000,498,1673.60791473618,1200.54515249754
"352",2001,"00672",10672000,124,526.230454394242,392.819979188345
"353",2001,"00673",40547977.6797,382,1228.4309203213,1999.12283106275
"354",2001,"00674",47569094.4649,440,989.915933260682,2099.69008264463
"355",2001,"00677",8031000,160,1644.07172610815,998.4375
"356",2001,"00678",15924579.3496,171,644.621294289799,322.492390821107
"357",2001,"00679",6296000,72,2168.92262528477,1944.44444444444
"358",2001,"00687",478000,10,3411.6174436722,6600
"359",2001,"00688",31193000,250,1166.23829485281,972.48
"360",2001,"00689",17245500,285,798.160119960954,1438.84272083718
"361",2001,"00692",7264000,90,2466.06734799821,1034.56790123457
"362",2001,"00693",7671796.125,55,1107.63308867604,1041.32231404959
"363",2001,"0069D",147380000,1700,1311.01571077438,1621.19031141869
"364",2001,"00741",2959000,47,3573.76999002134,3309.1896785876
"365",2001,"00756",1964187.4102,36,1960.25589713365,2222.22222222222
"366",2001,"00757",10361743,155,1726.32109835896,2561.91467221644
"367",2001,"00760",188539000,26,9666.40992344381,2248.52071005917
"368",2001,"00761",115948000,4,9978.63397577716,5000
"369",2001,"00762",79791000,50,8213.31558081006,1616
"370",2001,"00763",94761000,24,9533.13849380608,2187.5
"371",2001,"00764",248053000,25,9517.12186876819,7312
"372",2001,"00765",217234000,5,9926.43516953087,4400
"373",2001,"00766",275419000,66,8281.98864176262,1179.98163452709
"374",2001,"00776",43101000,132,3196.49596462732,1144.39853076217
"375",2001,"00777",12036000,120,872.158919276291,1052.77777777778
"376",2001,"00786",10182000,29,1937.38967487852,1510.10701545779
"377",2001,"00791",3545000,66,4599.0654112648,3870.52341597796
"378",2001,"00797",0,353,0,2082.27335104206
"379",2001,"007M5",0,3,0,5555.55555555555
"380",2001,"007M6",160097000,122,9978.78542578092,9517.60279494759
"381",2001,"00M00",3144000,76,4142.5122532357,2846.26038781163
"382",2001,"0100",1117490113,1797,1000.70417383007,998.928839849016
"383",2001,"0109",98600,7,4136.98472324511,3061.22448979592
"384",2001,"01106",239000,2,10000,10000
"385",2001,"0116",397957,9,3955.24752827672,1358.02469135802
"386",2001,"0120",919381572,12946,5473.30484266503,8354.85177004367
"387",2001,"01200",0,7,0,5918.36734693878
"388",2001,"01320",638000,9,5038.52163402482,5061.72839506173
"389",2001,"0139",14830619,179,1538.6749030614,673.199962547985
"390",2001,"013H",809961153,7729,3371.09235984941,6145.30692735901
"391",2001,"013H0",136709,3,10000,5555.55555555555
"392",2001,"0140",130889924,101,7304.7996349428,736.202333104598
"393",2001,"01400",0,3,0,5555.55555555555
"394",2001,"01484",188000,5,6145.3146220009,3600
"395",2001,"01644",145000,5,10000,10000
"396",2001,"01B01",273000,15,10000,10000
"397",2001,"0200",46664851,523,3577.23544649614,5151.73893810163
"398",2001,"02000",9655,2,10000,5000
"399",2001,"02349",1662000,15,4308.27254941996,2355.55555555556
"400",2001,"024B",1649255,54,5048.47863576278,9636.48834019205
"401",2001,"024H8",2244000,36,1392.11396760941,848.765432098765
"402",2001,"02541",364000,21,6345.70100229441,3877.55102040816
"403",2001,"0256",390027,8,2103.46577979784,1562.5
"404",2001,"0261",240631,11,4243.6367199582,1900.82644628099
"405",2001,"0267",-11509,5,10000,4400
"406",2001,"0276",-960,1,0,10000
"407",2001,"02801",5456000,30,7128.66689850449,2466.66666666667
"408",2001,"0281",283902,15,5060.58747864925,3155.55555555556
"409",2001,"0295",31084,7,7285.55070249288,4285.71428571429
"410",2001,"02C31",1113000,85,8984.00751068198,7472.66435986159
"411",2001,"02NV",587012,14,903.599729043817,918.367346938775
"412",2001,"02S2",1707032,29,881.360608279205,772.889417360285
"413",2001,"0300",9596442,26,2878.54088653352,1065.08875739645
"414",2001,"03000",0,1,0,10000
"415",2001,"03142",118952000,297,704.470122599187,480.789942069403
"416",2001,"03148",1587000,12,6255.11153357323,4027.77777777778
"417",2001,"03151",52096000,293,2481.01372312212,1500.19219792892
"418",2001,"03157",137000,2,5405.18940806649,5000
"419",2001,"03187",79412000,1759,7309.19639151826,9518.23497833444
"420",2001,"03198",32365000,102,1001.61187200041,761.245674740485
"421",2001,"031ME",54269000,55,2786.62721298919,1094.21487603306
"422",2001,"031ML",46000,1,10000,10000
"423",2001,"03294",1566645,10,3037.96100152044,4200
"424",2001,"032KW",25609414,525,2224.34212512023,2993.59637188209
"425",2001,"032NT",329000,5,4458.66169011742,3600
"426",2001,"03395",2892000,93,1899.98785221405,798.936293213088
"427",2001,"033A7",1032000,19,4787.32873625383,4072.02216066482
"428",2001,"0343",588398,7,5268.24852430246,3061.22448979592
"429",2001,"03434",11896000,42,2831.18765458452,1428.57142857143
"430",2001,"0345",24906,5,4879.54674242299,3600
"431",2001,"0349B",33000,1,10000,10000
"432",2001,"0351",72039,2,8573.18066889577,5000
"433",2001,"03516",220000,24,10000,8472.22222222222
"434",2001,"0355",1972389,49,2012.1794789717,1861.72428154935
"435",2001,"03604",2604000,47,1184.64951329731,792.2136713445
"436",2001,"03615",5890000,59,1263.86769127104,1192.18615340419
"437",2001,"0385",374462,6,5745.02266351485,1666.66666666667
"438",2001,"0398",610604,16,1721.61371834382,1093.75
"439",2001,"03A75",818000,3,4595.91944094069,3333.33333333333
"440",2001,"03A94",14584000,273,2321.61533284848,5475.04998054449
"441",2001,"03B19",446000,5,5798.93020169318,4400
"442",2001,"03D47",5908000,37,7873.81636916126,7209.64207450694
"443",2001,"03H6",128112,7,5109.12124113903,1836.73469387755
"444",2001,"03J1",249738,7,8240.45609969907,5510.20408163265
"445",2001,"03J14",266525000,384,7596.02793730441,8299.96744791666
"446",2001,"03J15",188673000,467,10000,10000
"447",2001,"03J16",593946000,1066,3395.15887242714,3550.11985680544
"448",2001,"03J19",1261000,16,2481.88030973744,1562.5
"449",2001,"03K0",60852,2,7200.80123103397,5000
