"","Fiscal_year","ContractingOfficeCode","obligatedAmount","numberOfContracts","hh_index_obl","hh_index_k"
"1",2001,"0000",190194716,492,1257.93051924468,1179.35752528257
"2",2001,"00000",0,1,0,10000
"3",2001,"00001",541994532.3808,2396,516.702568357839,156.772138316225
"4",2001,"00002",2093895040.0576,1049,4988.49218462367,249.990685213845
"5",2001,"00003",3635367981.7412,864,6243.53873488958,213.825660150892
"6",2001,"00004",4191857518.7238,1803,3942.84728174213,191.807639267641
"7",2001,"00005",2555527728.0187,492,5986.97934088438,240.680150703946
"8",2001,"00006",1248905530.8928,285,3836.65672609954,192.674669128963
"9",2001,"00007",829462601.8716,338,6195.0449475734,398.27036868457
"10",2001,"00008",452904553,114,4654.3485092063,489.38134810711
"11",2001,"00009",1648477989.1172,572,8281.50714911772,691.537483495525
"12",2001,"0001",61542007,357,2167.76060741104,1729.71149244011
"13",2001,"00010",62624128.3621,270,1478.31308472468,262.825788751715
"14",2001,"00011",579853698.6602,259,4182.59096849497,392.510546950701
"15",2001,"00012",317606230,46,7343.02148064387,775.047258979206
"16",2001,"00013",34079000,12,9108.53519984988,1111.11111111111
"17",2001,"00015",2786000,47,1694.60521765839,1951.10909913988
"18",2001,"00016",45377473.6797,125,1068.04902397722,356.48
"19",2001,"00017",5777737,27,4320.82309775064,507.544581618656
"20",2001,"00018",3007000,30,5322.74598379195,2577.77777777778
"21",2001,"0001U",35000,1,10000,10000
"22",2001,"00020",30843780.9126,205,894.924551747592,343.367043426532
"23",2001,"00021",7897000,27,4007.39166786996,2318.24417009602
"24",2001,"00022",81986274,500,1507.41241593521,1523.6
"25",2001,"00023",251038535.6172,1317,884.694471514827,2509.43649685873
"26",2001,"00024",554012395,69,3393.56592457404,1585.80130224743
"27",2001,"00025",369000,15,7394.9956301731,5733.33333333333
"28",2001,"00026",159772630.4825,586,1841.63627988319,1026.74463301844
"29",2001,"00027",763195308.5,77,4485.51682653323,642.604149097656
"30",2001,"00028",188405022.9399,46,8494.31055943634,453.686200378072
"31",2001,"00029",141670317.9502,20,6385.47506671502,650
"32",2001,"00030",17485000,139,759.214534269606,254.127633145282
"33",2001,"00032",2070979949.7598,184,9840.34377010971,1847.23534971645
"34",2001,"00033",462975367,42,9948.17243668565,1133.78684807256
"35",2001,"00034",653748856,136,9235.76354077476,276.81660899654
"36",2001,"00035",856726,16,1339.82672865878,1171.875
"37",2001,"00036",245701332.375,138,8848.1731776543,1212.98046628859
"38",2001,"00038",118954996.37,1506,4633.97683919085,5401.62501829777
"39",2001,"00039",5933211,29,5395.75212662803,1248.51367419738
"40",2001,"0004",73547869,436,675.860314971516,446.406026428752
"41",2001,"00040",82215853,545,1116.01622756934,311.724602306203
"42",2001,"00041",61000,1,10000,10000
"43",2001,"00042",162274,3,3944.79695571875,3333.33333333333
"44",2001,"00043",6000,1,10000,10000
"45",2001,"00044",4250607.3521,75,1181.91113824188,837.333333333333
"46",2001,"00045",4421771,103,1926.87368670992,1297.95456687718
"47",2001,"00046",603369.582,16,2087.68984356373,1406.25
"48",2001,"00047",43486000,103,3824.0432767968,1477.04778961259
"49",2001,"00048",764000,5,8811.43609001946,4400
"50",2001,"00049",871628.8984,25,1054.07451111938,688
"51",2001,"0004N",203000,4,3060.25382804727,2500
"52",2001,"0004P",34000,1,10000,10000
"53",2001,"00050",76579910.2,371,800.394019116074,1065.74349212807
"54",2001,"00051",822968,9,5692.26884269771,3827.16049382716
"55",2001,"00052",31634208.8906,26,2193.87526993864,1094.67455621302
"56",2001,"00053",31415404.444,406,1544.7063238272,3903.75888762164
"57",2001,"00054",329286347,3,9995.93121492017,3333.33333333333
"58",2001,"00055",1096000,42,1217.79929671266,2290.24943310658
"59",2001,"00056",11631000,62,1265.03345897112,863.683662851197
"60",2001,"00057",149393941.916,342,1197.68212050537,727.403303580589
"61",2001,"00059",333076085,283,2873.60297513937,1262.47050156701
"62",2001,"00060",47412298,161,2751.55536875371,742.641101809344
"63",2001,"00061",131828000,488,1568.30014557039,1353.63477559796
"64",2001,"00062",720000,19,2830.4724487995,2132.96398891967
"65",2001,"00063",424244118.044,1035,1001.25058595302,1025.00408410931
"66",2001,"00065",86659620,672,510.219862179714,320.294784580499
"67",2001,"00066",148000,3,5934.98904309715,3333.33333333333
"68",2001,"00067",658000,14,1007.75122181059,816.326530612245
"69",2001,"00068",89548000,355,4620.97911357145,2241.38067843682
"70",2001,"00069",19500,1,10000,10000
"71",2001,"0006A",542320,38,1102.01741313826,1440.4432132964
"72",2001,"0006B",17000,1,10000,10000
"73",2001,"0006C",249000,6,2497.86293769455,1666.66666666667
"74",2001,"00070",116774379.2002,324,5154.92161067636,762.078951379363
"75",2001,"00071",85987692.997,107,6037.08519775812,2925.14630098699
"76",2001,"00074",63000,1,10000,10000
"77",2001,"00075",17533570.6562,85,1473.07261632986,1482.35294117647
"78",2001,"00079",1680000,2,9444.89795918367,5000
"79",2001,"00080",67019576.3069,923,3368.45314349885,3009.81654574501
"80",2001,"00081",34290594.6866,346,1178.60189975026,1094.42346887634
"81",2001,"00082",15181700,184,1204.45843948219,861.885633270321
"82",2001,"00083",26749697.3125,313,1430.31091288454,1127.39744204799
"83",2001,"00084",63439923.3477,886,1288.34120617876,2379.09492532446
"84",2001,"00085",31523989,145,8655.98521593781,6781.92627824019
