"Variable_Name","Min","Max","Median","Arithmatic Mean","1 unit below","1 unit above","% of records NA","% of Obligations to NA records"
"def3_ratio_lag1","0.000","0.156","0.026","0.033","-0.026  * ","0.091 ","1.17%","0.784%"
"def6_ratio_lag1","-0.028","6.153","0.033","0.104","-0.292  * ","0.500 ","2.95%","1.096%"
"pMarket","0.000","1.000","0.002","0.049","-0.263  * ","0.361 ","0.25%","0.517%"
