"Variable_Name","Min","Max","Median","Logarithmic Mean","1 unit below","1 unit above","% of records NA","% of Obligations to NA records"
"UnmodifiedBase_OMB20_GDP18","0.01","27,801,453,260.02","30,394.75","34,728.12","465.13","2,592,900.78","0.47%","0.61%"
"Ceil2Base","1.00","29,008,179.90","1.00","1.10","0.46*","2.64","0.47%","0.62%"
"UnmodifiedDays","1.00","33,049.00","120.04","81.94","2.85","2,359.33","2.25%","1.76%"
"def3_HHI_lag1","27.82","10,000.00","227.68","221.83","29.36","1,676.24","0.63%","0.49%"
"def3_ratio_lag1","0.00","0.16","0.03","0.02","0.00","0.34*","1.16%","0.71%"
"def6_HHI_lag1","22.09","10,000.00","582.78","599.05","55.94","6,415.41","2.39%","0.79%"
"capped_def6_ratio_lag1","0.00","1.00","0.03","0.02","0.00","2.13*","3.06%","1.08%"
"office_naics_hhi_k","93.95","10,000.00","709.88","825.57","79.81*","8,539.71","0.03%","0.08%"
