"Output","Variable","Odds Ratio","Lower Bound","Upper Bound"
"Breach Likelihood","Log(Det. Ind. Salary)",0.93,0.83,1.04
"Breach Likelihood","Log(Serv. Code Invoice Rate)",1.05,1.02,1.08
"Breach Likelihood","Office PBSA Prop.",1.12,1.07,1.18
"Breach Likelihood","Office Serv. Code Exp. %",1.18,1.13,1.24
"Breach Likelihood","Paired Years",0.91,0.89,0.93
"Breach Likelihood","Log(Paired Actions)",1.56,1.5,1.62
